                                                                                            202.21
                               Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 13.12.2018

                                        Орловская область

Регистр.                   Название                Тип объекта       Географические        Номенкл.
 номер              географического объекта                            координаты             листа
                                                                                              карты
                                                                   Широта       Долгота    масштаба
                                                                                           1 :100 000
   1                           2                          3                 4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0010410    Ливны                                   город           52°26'        37°37'    N-37-124
                                                   обл.подч.

0064333    Мценск                                  город           53°17'        36°34'    N-37-098
                                                   обл.подч.

0010427    Орел                                    город           52°58'        36°07'    N-37-109
                                                   обл.подч.




                                         Болховский район
0291321   Никольское            деревня    52°44'       36°55'     N-37-110
0291341   Новая                 деревня    52°32'       37°22'     N-37-123
0062893   Новая                 деревня    52°40'       37°24'     N-37-123
0291356   Новая Деревня         деревня    52°55'       37°14'     N-37-111
0062758   Огороженое            деревня    52°32'       37°16'     N-37-123
0063039   Озерки                деревня    52°44'       37°12'     N-37-111
0291346   Осинник               посёлок    52°35'       37°23'     N-37-123
0064088   Пеньшино              село       52°33'       37°20'     N-37-123
0291317   Первомайский          посёлок    52°48'       37°06'     N-37-111
0291358   Песочное              село       52°53'       37°11'     N-37-111
0291364   Покровская            деревня    52°46'       37°12'     N-37-111
0291447   Полянская Дача        посёлок    52°43'       37°18'     N-37-111
0291449   Пречистенка           посёлок    52°42'       37°21'     N-37-111
0291374   Приволье              посёлок    52°30'       37°14'     N-37-123
0062843   Прусынок              деревня    52°33'       37°28'     N-37-123
0291446   Пушино                посёлок    52°43'       37°19'     N-37-111
0291363   Раевка                деревня    52°48'       37°09'     N-37-111
0291345   Рассвет               посёлок    52°35'       37°23'     N-37-123
0063834   Ровнец                село       52°29'       37°24'     N-37-123
0063825   Рогозино              деревня    52°43'       36°59'     N-37-110
0063822   Ртищево               село       52°38'       37°28'     N-37-123
0062880   Русский Брод          село       52°36'       37°22'     N-37-123
0063155   Свидеровка            деревня    52°41'       37°26'     N-37-111
0291362   Семеновка             деревня    52°46'       37°15'     N-37-111
0291333   Сидоровка             деревня    52°38'       37°23'     N-37-123
0063256   Синковец              деревня    52°47'       37°17'     N-37-111
0063255   Скородное             село       52°46'       37°06'     N-37-111
0064272   Скорятино             посёлок    52°43'       37°19'     N-37-111
0063260   Среднее               село       52°50'       37°18'     N-37-111
0291313   Старшино              посёлок    52°38'       37°11'     N-37-123

                                                    Стр. 8 из 70
   1                       2                       3                  4                 5

0291361   Степановка                       деревня         52°46'         37°21'     N-37-111
0291344   Стрелка                          деревня         52°34'         37°15'     N-37-123
0063655   Строкино                         деревня         52°56'         37°15'     N-37-111
0140428   Суровцев                         посёлок         52°49.1'       37°16.5'   N-37-111
0291357   Сухоголовище                     деревня         52°53'         37°14'     N-37-111
0063257   Суходолье                        деревня         52°52'         37°14'     N-37-111
0063656   Сухотиновка                      село            52°47'         37°19'     N-37-111
0064236   Сухотиновка                      деревня         52°55'         37°15'     N-37-111
0291325   Татарский Брод                   деревня         52°40'         37°24'     N-37-123
0064089   Теляжье                          село            52°38'         37°17'     N-37-123
0291445   Толстовка                        посёлок         52°42'         37°18'     N-37-111
0064300   Троицкое                         село            52°39'         37°12'     N-37-123
0291360   Труды                            деревня         52°47'         37°16'     N-37-111
0064150   Туровка                          деревня         52°49'         37°05'     N-37-111
0291444   Утренняя Заря                    посёлок         52°43'         37°19'     N-37-111
0291443   Федоровка                        деревня         52°41'         37°09'     N-37-111
0291320   Федоровка                        деревня         52°44'         36°59'     N-37-110
0291442   Хитрово                          деревня         52°44'         37°21'     N-37-111
