                                                                                                 202.21
                             Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                      Вологодская область

Регистр.                  Название                Тип объекта         Географические            Номенкл.
 номер             географического объекта                              координаты                 листа
                                                                                                   карты
                                                                   Широта          Долгота      масштаба
                                                                                                1 :100 000
   1                          2                           3                    4                     5

                       Населённые пункты, не относящиеся к районам
                                        количество записей - 4


0033730   Харино                             деревня         60°01'с.ш.       35°47'в.д.   P-36-144
0036678   Харчевня                           деревня         59°54'с.ш.       35°57'в.д.   O-36-012
0242466   Хрипелево                          деревня         59°55'с.ш.       36°06'в.д.   O-37-001
0273978   Худяково                           деревня         60°04'с.ш.       36°21'в.д.   P-37-133
0227168   Ципелево                           деревня         59°32'с.ш.       35°41'в.д.   O-36-024
0244294   Чащино                             деревня         59°36'с.ш.       36°05'в.д.   O-37-013
0036045   Чиково                             деревня         59°13'с.ш.       36°10'в.д.   O-37-025
0035440   Чистиково                          деревня         59°44'с.ш.       35°57'в.д.   O-36-012
0033731   Чубрино                            деревня         60°03'с.ш.       35°33'в.д.   P-36-144
0035010   Чуниково                           деревня         60°01'с.ш.       36°08'в.д.   P-37-133
0035592   Шарапова Горка                     деревня         59°37'с.ш.       36°03'в.д.   O-37-013
0273979   Шарапово                           деревня         60°01'с.ш.       36°02'в.д.   P-37-133
0273980   Шараповская Горка                  деревня         60°01'с.ш.       36°02'в.д.   P-37-133
0227753   Шеино                              деревня         60°03'с.ш.       35°42'в.д.   P-36-144
0227754   Шилово                             деревня         60°05'с.ш.       35°47'в.д.   P-36-144
0242467   Ширяевская                         деревня         59°49'с.ш.       36°03'в.д.   O-37-001
0686237   Шогда                              деревня         59°55'с.ш.       36°13'в.д.   O-37-001
0245786   Щепье                              посёлок         59°12'с.ш.       36°06'в.д.   O-37-025
0227755   Яковлевская                        деревня         60°15'с.ш.       35°39'в.д.   P-36-144
0036738   Якутино                            деревня         60°01'с.ш.       36°24'в.д.   P-37-133
0035521   Янголохта                          деревня         60°11'с.ш.       36°09'в.д.   P-37-133
0033625   Янишево                            деревня         60°05'с.ш.       35°47'в.д.   P-36-144
0227169   Ярцево                             деревня         59°31'с.ш.       35°35'в.д.   O-36-024
0245787   Ясное                              посёлок         59°11'с.ш.       36°02'в.д.   O-37-025




                                  Бабушкинский район
                                  количество записей - 138


0033993   Аксеново                           деревня         59°44'с.ш.       43°20'в.д.   O-38-003
0034207   Алексейково                        деревня         59°55'с.ш.       43°46'в.д.   O-38-004
0033981   Андреевское                        село            59°45'с.ш.       44°12'в.д.   O-38-005
0034223   Аниково                            деревня         59°23'с.ш.       43°45'в.д.   O-38-016
0033980   Антоново                           деревня         59°32'с.ш.       43°21'в.д.   O-38-015
0228273   Афаньково                          деревня         59°45'с.ш.       44°14'в.д.   O-38-005
0033972   Бабья                              деревня         59°56'с.ш.       44°10'в.д.   O-38-005
0033133   Безгачиха                          деревня         59°53'с.ш.       44°32'в.д.   O-38-006
0034235   Белехово                           деревня         59°35'с.ш.       43°54'в.д.   O-38-016

                                                                          Стр. 7 из 183
  1                        2            3                4                   5

0241040   Белогорье             деревня     59°52'с.ш.       44°39'в.д.   O-38-006
0241041   Белокрутец            деревня     59°54'с.ш.       44°39'в.д.   O-38-006
0228184   Бережок               деревня     59°46'с.ш.       43°36'в.д.   O-38-004
0228183   Березовка             посёлок     59°57'с.ш.       43°43'в.д.   O-38-004
0034208   Большой Двор          деревня     59°54'с.ш.       43°23'в.д.   O-38-003
0033294   Борисово              деревня     59°28'с.ш.       44°07'в.д.   O-38-017
