                                                                                              202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 28.01.2019

                                         Липецкая область

Регистр.                   Название                 Тип объекта       Географические         Номенкл.
 номер              географического объекта                             координаты              листа
                                                                                                карты
                                                                   Широта         Долгота    масштаба
                                                                                             1 :100 000
   1                           2                          3                   4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 2


0010389    Елец                                    город           52°37'          38°31'    N-37-126
                                                   обл.подч.

0010400    Липецк                                  город           52°37'          39°36'    N-37-128
                                                   обл.подч.




                                         Воловский район
                                         количество записей - 77


0108399   Новая                   деревня    53°29'       38°56'     N-37-090
0108411   Новики                  деревня    53°19'       38°48'     N-37-102
0079336   Новоникольское          село       53°12'       39°09'     N-37-103
0108406   Новопетровский          посёлок    53°19'       38°48'     N-37-102
0108400   Новотроицкое            деревня    53°28'       38°46'     N-37-090
0108393   Огарево                 деревня    53°33'       38°47'     N-37-090
0079353   Одоевщино               село       53°16'       38°51'     N-37-102
0108408   Ольгино                 деревня    53°15'       38°45'     N-37-102
0079355   Орловка                 село       53°10'       38°48'     N-37-102
0108401   Осиновые Прудки         деревня    53°27'       38°55'     N-37-090
0080183   Павловка                деревня    53°09'       39°05'     N-37-103
0108398   Пеньки                  деревня    53°31'       38°57'     N-37-090
0108407   Первовка                деревня    53°17'       38°38'     N-37-102
0079321   Перехваль               село       53°08'       39°06'     N-37-103
0080184   Перехвальские Выселки   деревня    53°11'       39°06'     N-37-103
0108381   Петровский              посёлок    53°16'       38°52'     N-37-102
0108384   Петропавловка           деревня    53°15'       38°42'     N-37-102
0108380   Писарево                деревня    53°17'       38°38'     N-37-102
0079359   Плахово                 село       53°15'       38°41'     N-37-102
0108374   Плехотино               деревня    53°10'       39°01'     N-37-103
0108379   Плоский                 посёлок    53°19'       38°56'     N-37-102

                                                      Стр. 6 из 39
  1                           2          3                4                 5

0108386   Плоское                 деревня        53°10'       38°43'     N-37-102
0079360   Подосинки               деревня        53°19'       38°36'     N-37-102
0108383   Покровка                деревня        53°15'       38°41'     N-37-102
0078457   Покровское              село           53°21'       38°55'     N-37-090
0078447   Полибино                село           53°30'       38°59'     N-37-090
0079239   Политово                ж.-д.ст.(нп)   53°21'       38°58'     N-37-090
0108371   Пролетарский            посёлок        53°15'       39°01'     N-37-103
0108385   Прудки                  деревня        53°11'       38°36'     N-37-102
0108402   Раевщино                деревня        53°25'       38°54'     N-37-090
0108373   Реневка                 деревня        53°13'       39°02'     N-37-103
0108372   Репцы                   деревня        53°13'       39°15'     N-37-103
0108403   Рожки                   деревня        53°20'       38°49'     N-37-090
0108394   Рыхотка                 деревня        53°33'       38°50'     N-37-090
0108395   Садовый                 посёлок        53°33'       38°57'     N-37-090
0108492   Сазоновка               деревня        53°21'       39°18'     N-37-091
0108493   Секирино                деревня        53°21'       38°45'     N-37-090
0108426   Секирино                деревня        53°11'       38°58'     N-37-102
0108495   Скачиловка              деревня        53°26'       38°58'     N-37-090
0108425   Скородное               деревня        53°08'       38°46'     N-37-102
0108428   Слободка                деревня        53°16'       38°40'     N-37-102
0108427   Соколовка               деревня        53°13'       38°47'     N-37-102
0108494   Спешнево                деревня        53°32'       38°46'     N-37-090
0079356   Спешнево-Ивановское     село           53°16'       38°59'     N-37-102
0108486   Спешнево-Подлесное      село           53°08'       39°02'     N-37-103
0108433   Стребки                 деревня        53°08'       38°46'     N-37-102
0108442   Стрешнево               село           53°29'       38°59'     N-37-090
0108431   Ступино                 деревня        53°18'       38°58'     N-37-102
0079332   Сугробы                 село           53°11'       39°09'     N-37-103
0108487   Сутупово                деревня        53°11'       39°08'     N-37-103
0079358   Телепнево               село           53°07'       38°54'     N-37-102
0079271   Теплое                  село           53°13'       38°53'     N-37-102
0079320   Требунки                село           53°18'       39°08'     N-37-103
0108594   Требунские Выселки      деревня        53°20'       39°02'     N-37-091
0079265   Тужилки                 деревня        53°18'       38°44'     N-37-102
0108603   Ушаковка                деревня        53°14'       38°43'     N-37-102
0108593   Ханеевка                деревня        53°20'       39°16'     N-37-091
0108606   Хвощевка                деревня        53°15'       39°00'     N-37-103
0079240   Хитрово                 село           53°31'       39°01'     N-37-091
0079236   Хитровские Прудки       деревня        53°30'       38°53'     N-37-090
0108602   Хонино                  деревня        53°18'       38°49'     N-37-102
0079266   Хорошие Воды            село           53°10'       38°40'     N-37-102
0079267   Хрущевка                деревня        53°18'       38°50'     N-37-102
0079255   Хрущево-Подлесное       село           53°08'       39°01'     N-37-103
0108592   Щегловка                деревня        53°20'       38°55'     N-37-090
0079242   Ягодное                 село           53°21'       39°18'     N-37-091

                                                          Стр. 7 из 39
  1                           2                     3                   4                 5

0079473   Янушево                            посёлок         53°16'         39°17'     N-37-103
0079272   Ярославы                           село            53°17'         38°53'     N-37-102
0079475   Яхонтово                           село            53°18'         39°02'     N-37-103




                                  Добринский район
                                  количество записей - 116


0079570   Александровка                      деревня         52°08'         40°11'     N-37-141
0078975   Александровка                      село            52°18'         40°28'     N-37-141
